0	1	2	3
PP_3544		Transcriptional regulator, GntR family	
PP_3437	yegH	Transporter	
PP_3335			Natural product biosynthesis protein
PP_3167	benE-II	Benzoate transport protein	
PP_2996			Transmembrane protein
PP_2912			non-specific serine/threonine protein kinase
PP_2909	glaH		Glutarate 2-hydroxylase
PP_2806		Transcriptional regulator, TetR family	
PP_2772		Monooxygenase	
PP_2652		Hydratase/decarboxylase	
PP_2621			Type VI secretion system baseplate subunit TssF
PP_2620			Type VI secretion system baseplate subunit TssG
PP_2586		Amino acid transporter	
PP_2568		Ring-cleaving dioxygenase	
PP_2562			Isochorismatase-like domain-containing protein
PP_2392		Major facilitator family transporter	
PP_2368	dkgB	2,5-diketo-D-gluconate reductase	
PP_2326		Universal stress protein	
PP_2295		Antirestriction protein	
PP_2260		Glycerol-phosphate ABC transporter, ATP-binding protein	
PP_2237			DUF3182 family protein
PP_2198	yliI	Aldose sugar dehydrogenase	
PP_2181		Transcriptional regulator, Cro/CI family	
PP_2156	lolE	Lipoprotein releasing system, permease protein	
PP_2153			PilZ domain-containing protein
PP_2080	gdhB		glutamate dehydrogenase
PP_2062			RHS repeat-associated core domain-containing protein
PP_2054	ybhD	DNA-binding transcriptional regulator	
PP_1801	wbpY	Glycosyl transferase WbpY	
PP_1779		Lipopolysaccharide ABC export system, ATP-binding protein	
PP_1737			ABC transporter
PP_1689		Long-chain fatty acid transporter	
PP_1645	yfgD		Arsenate reductase
PP_1557			Prophage PssSM-03
PP_1518			DUF4197 domain-containing protein
PP_1489		CheW domain protein	
PP_1433	rnc		Ribonuclease 3
PP_1419	opdH	Tricarboxylate-specific outer membrane porin	
PP_1371	mcpG		Methyl-accepting chemotaxis protein McpG
PP_1347		Glutathione S-transferase family protein	
PP_1335	murD		UDP-N-acetylmuramoylalanine--D-glutamate ligase
PP_1118		Recombinase-related protein	
PP_1080		Oxidoreductase molybdopterin-binding	
PP_1079	argF		Ornithine carbamoyltransferase
PP_1022	zwfA		Glucose-6-phosphate 1-dehydrogenase
PP_0958	mlaF	Phospholipid ABC transporter ATP-binding subunit	
PP_0937	rng	Endoribonuclease G (RNAse G)	
PP_0936	maf-1		dTTP/UTP pyrophosphatase
PP_0903			Methyltransferase domain-containing protein
PP_0862			PKHD-type hydroxylase PP_0862
PP_0829			Addiction module antidote protein
PP_0822	selU		tRNA 2-selenouridine synthase
PP_0782			Glutamyl-tRNA amidotransferase
PP_0763		Medium-chain-fatty-acid CoA ligase	
PP_0715		Outer membrane efflux protein	
PP_0667		RNA polymerase sigma-70 factor, ECF subfamily	
PP_0616		Branched-chain amino acid ABC transporter, ATP binding protein	
PP_0515	ribE	Riboflavin synthase	
PP_0397	yeaG	Protein kinase	
PP_0288		Oxalate/formate antiporter	
PP_0275			Type II toxin-antitoxin system RelE/ParE family toxin
PP_0186	hemC		Porphobilinogen deaminase
PP_0181			TIGR02647 family protein
PP_0155	pntB		NAD(P) transhydrogenase subunit beta
PP_0084	trpI	HTH-type transcriptional regulator TrpI	
PP_0072	qor-I	Quinone oxidoreductase	
PP_0022		Uncharacterized protein	
PP_5747	pntAB		proton-translocating NAD(P)(+) transhydrogenase
PP_5507		Uncharacterized protein	
PP_5523		Uncharacterized protein	
PP_5586		Uncharacterized protein	
PP_3584	mdtB	Multidrug efflux transport system-membrane subunit	
PP_5632		Enzyme subunit involved in allo-isoleucine metabolism	
PP_5638			DUF2514 domain-containing protein
PP_4481	argD		Acetylornithine aminotransferase
PP_1342	ftsZ		Cell division protein FtsZ
PP_5396		Transposase	
PP_5352	uvrD		DNA 3'-5' helicase
PP_5323		Peptidase, M23/M37 family	
PP_5310	recG		ATP-dependent DNA helicase RecG
PP_5201			UPF0149 protein PP_5201
PP_5198			Tetrameric acyl-CoA thioesterase
PP_5134			G domain-containing protein
PP_5121			Twin-arginine translocation pathway signal protein
PP_5116			Peptidase M16
PP_4946	putP		Sodium/proline symporter
PP_4736	lldD		L-lactate dehydrogenase
PP_4668		Transcriptional regulator, LysR family	
PP_4526		MFS superfamily transporter	
PP_4473			Aspartate kinase
PP_4470		Transcriptional regulator (Arc domain-containing)	
PP_4398		Major facilitator family transporter	
PP_4340	cheY	Response regulator for chemotactic signal transduction	
PP_4333		CheW domain protein	
PP_4290	uacT	Uric acid permease	
PP_4278	xdhA	Xanthine dehydrogenase subunit XdhA	
PP_4274	ligA		DNA ligase
PP_4253	ccoP-I		Cbb3-type cytochrome c oxidase subunit
PP_4238		Uncharacterized protein	
PP_4169	gpsA		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
PP_4167	sixA	Phosphohistidine phosphatase SixA	
PP_3983		Uncharacterized protein	
PP_3955		Permease	
PP_3947	nicA		Nicotinate dehydrogenase subunit A
PP_3780			Sodium:proton antiporter
PP_3725		Acyl-CoA dehydrogenase	
PP_3724		Acyl-CoA synthetase	
PP_3643		Oxidoreductase	
PP_3529	dmoA-II	Dimethyl-sulfide monooxygenase	
PP_3276	paaC	Ring 1,2-phenylacetyl-CoA epoxidase beta subunit	
PP_3176		Major facilitator family transporter	
PP_2987			HTH hxlR-type domain-containing protein
PP_2925	mqo3		Probable malate:quinone oxidoreductase 3
PP_2916	ribC	Riboflavin synthase	
PP_2854			Fap system outer membrane protein
PP_2847	ureJ	Urease accessory protein UreJ	
PP_2739		Sensory box protein	
PP_2721			Amino acid transporter
PP_2606			NIPSNAP domain-containing protein
PP_2541		Transcriptional factor-related protein	
PP_2540		Oxidoreductase, short-chain dehydrogenase/reductase family	
PP_2479		Cytochrome c family protein	
PP_2467	rpmI		Large ribosomal subunit protein bL35
PP_2397		EF hand domain protein	
PP_2366	fsr-II	Fosmidomycin efflux system	
PP_2308		Acyl-CoA thioesterase II	
PP_2291		Uncharacterized protein	
PP_2246	dauA	Catabolic D-arginine dehydrogenase, FAD-dependent	
PP_2040		Major facilitator family transporter	
PP_2034			Major facilitator superfamily (MFS) profile domain-containing protein
PP_1989	asd		Aspartate-semialdehyde dehydrogenase
PP_1984		Transcriptional regulator, LysR family	
PP_1976		HlyD family secretion protein	
PP_1826		Hydrolase, isochorismatase family	
PP_1758	trhO		tRNA uridine(34) hydroxylase
PP_1657	mazG	Modified nucleoside triphosphate pyrophosphohydrolase	
PP_1596	cdsA		Phosphatidate cytidylyltransferase
PP_1511			Extensin-like C-terminal domain-containing protein
PP_1510		Carboxyvinyl-carboxyphosphonate phosphorylmutase	
PP_1473			DUF3509 domain-containing protein
PP_1457	purT		Formate-dependent phosphoribosylglycinamide formyltransferase
PP_1450		Activation/secretion protein, TPS family	
PP_1329	rsmH		Ribosomal RNA small subunit methyltransferase H
PP_1256		Alpha-ketoglutarate semialdehyde dehydrogenase	
PP_1219	tolQ		Tol-Pal system protein TolQ
PP_1180		Uncharacterized protein	
PP_1013			histidine kinase
PP_1007		Transmembrane sensor	
PP_0841	iscR	DNA-binding transcriptional dual regulator 2Fe-2S cluster IscR	
PP_0832	queA		S-adenosylmethionine:tRNA ribosyltransferase-isomerase
PP_0814	cyoC		Cytochrome bo(3) ubiquinol oxidase subunit 3
PP_0762	hprA	Glycerate dehydrogenase	
PP_0726		Transferase	
PP_0658		Homocysteine S-methyltransferase family protein	
PP_0628			DUF1780 domain-containing protein
PP_0612	thiO		Glycine oxidase
PP_0538	ppa		Inorganic pyrophosphatase
PP_0496		Sodium/alanine symporter	
PP_0401	rsmA		Ribosomal RNA small subunit methyltransferase A
PP_0340	glnE		Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
PP_0287			AsmA domain-containing protein
PP_0249			Putative ATP-dependent zinc protease domain-containing protein
PP_0210		Phycobiliprotein	
PP_0143			DUF2914 domain-containing protein
PP_0120			High-affinity zinc uptake system protein ZnuA
PP_0032			Secreted protein
PP_0017		Transcriptional regulator	
PP_5422		Uncharacterized protein	
PP_5423		Uncharacterized protein	
PP_5446		Uncharacterized protein	
PP_5453		Uncharacterized protein	
PP_5469		SAM-dependent methyltransferase	
PP_5473		Transcriptional regulator, LuxR family	
PP_5546			Type IV toxin-antitoxin system AbiEi family antitoxin domain-containing protein
PP_5558		Transcriptional xre family of phage origin	
PP_5623		Uncharacterized protein	
PP_5647		Uncharacterized protein	
PP_2471	ihfA		Integration host factor subunit alpha
PP_5360			DUF1826 domain-containing protein
PP_5357	pdxY		Pyridoxal kinase PdxY
PP_5345		Acetyltransferase, GNAT family	
PP_5304		Lipoprotein	
PP_5250	opdB	Proline-specific outer membrane porin D	
PP_5246	kefB-III	Glutathione-regulated potassium/H+ antiporter	
PP_5225	cyaY		Iron-sulfur cluster assembly protein CyaY
PP_5193	gcvH2		Glycine cleavage system H protein 2
PP_5191			Ribonucleotide reductase
PP_5051		Uncharacterized protein	
PP_5024		Amino acid ABC transporter, periplasmic amino acid-binding protein	
PP_4998	pyrB		Aspartate carbamoyltransferase
PP_4973			EamA domain-containing protein
PP_4957			Helix-turn-helix domain-containing protein
PP_4895	miaA		tRNA dimethylallyltransferase
PP_4717	folP		Dihydropteroate synthase
PP_4697	pcnB		Poly(A) polymerase I
PP_4694	gluQ		Glutamyl-Q tRNA(Asp) synthetase
PP_4660		Transcriptional regulator, LysR family	
PP_4581	yafJ	Amidotransferase	
PP_4513			Selenoprotein
PP_4394	flgA		Flagella basal body P-ring formation protein FlgA
PP_4323	ccmE		Cytochrome c-type biogenesis protein CcmE
PP_4228			Glutamyl-tRNA amidotransferase
PP_4191	sdhA		Succinate dehydrogenase flavoprotein subunit
PP_4018		Acetyltransferase, GNAT family	
PP_3931	yfbS	Transporter	
PP_3895		Regulatory protein Cro	
PP_3837	yphA		DoxX family protein
PP_3800			Periplasmic protein
PP_3770			Filamentous hemagglutinin
PP_3684		Uncharacterized protein	
PP_3416	gnuK		Gluconokinase
PP_3398		Curli fiber surface-exposed nucleator CsgB	
PP_3340		TonB-dependent receptor	
PP_3292		Uncharacterized protein	
PP_3243		Acetyltransferase, GNAT family	
PP_3162	benB	Benzoate 1,2-dioxygenase subunit beta	
PP_3141		Glycosyl transferase, WecB/TagA/CpsF family	
PP_3139		Glycosyl transferase, group 1 family protein	
PP_3053	gpW	Pyocin R2_PP, baseplate protein	
PP_2977	tnpB	Tn4652, transposase subunit B	
PP_2969	csoR	Repressor of copper utilisation proteins	
PP_2945			histidine kinase
PP_2906			histidine kinase
PP_2881		Oxidoreductase, short chain dehydrogenase/reductase family	
PP_2851			Thioredoxin
PP_2685			Peptidase
PP_2553		Major facilitator family transporter	
PP_2546			DUF2784 domain-containing protein
PP_2499			Ribbon-helix-helix protein CopG domain-containing protein
PP_2459	rbsD		D-ribose pyranase
PP_2268		Phage endodeoxyribonuclease I	
PP_2124		Glycosyl transferase	
PP_2099			DUF469 domain-containing protein
PP_2094		Nitrate-binding protein NasS	
PP_2056	dctA-II	C4-dicarboxylate transport protein	
PP_2047		3-hydroxyacyl-CoA dehydrogenase family protein	
PP_2035	benE-I	Benzoate transport protein	
PP_1992	asd	Aspartate-semialdehyde dehydrogenase	
PP_1900	lpxK		Tetraacyldisaccharide 4'-kinase
PP_1875			histidine kinase
PP_1863		Transcriptional regulator, LysR family	
PP_1832		Oxidase	
PP_1812		Uncharacterized protein	
PP_1694	rmuC	DNA recombination limiting inversions protein	
PP_1687			DUF2798 domain-containing protein
PP_1627		Uncharacterized protein	
PP_1586		Killer protein	
PP_1507	tsaB		tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
PP_1504			Pilin assembly protein
PP_1291		PhoH family protein	
PP_1144			Diguanylate phosphodiesterase
PP_1097	metG		Methionine--tRNA ligase
PP_1093		Electron transport complex protein	
PP_0998			DUF5064 domain-containing protein
PP_0943			FagA protein
PP_0916		Amino acid transporter LysE	
PP_0882	dppA-I	Dipeptide ABC transporter-periplasmic binding protein	
PP_0845	hscB		Co-chaperone protein HscB homolog
PP_0791	yjjV	Hydrolase	
PP_0533	pfeS-I		histidine kinase
PP_0440	tufA		Elongation factor Tu-A
PP_0417	trpE		Anthranilate synthase component 1
PP_0241		Transporter	
PP_0209	tauB-I	ATP-binding taurine transporter subunit	
PP_0101		Sulfate transporter	
PP_0090			DUF1161 domain-containing protein
PP_0056	betA-I	Choline dehydrogenase	
PP_5487		Uncharacterized protein	
PP_5516		Uncharacterized protein	
PP_5534		Uncharacterized protein	
PP_5536			RHS repeat-associated core domain-containing protein
PP_5671			DUF883 domain-containing protein
PP_5707			DUF3077 domain-containing protein
PP_5259		Transcriptional regulator, LysR family	
PP_5257	amaA	L-pipecolate oxidase	
PP_5199	ubiH	2-octaprenyl-6-methoxyphenyl hydroxylase	
PP_5178	spuG	Spermidine/putrescine ABC transporter-inner membrane subunit	
PP_5142	lgt		Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
PP_5048	glnG		DNA-binding transcriptional regulator NtrC
PP_5015	hisE		Phosphoribosyl-ATP pyrophosphatase
PP_4928	waaA		3-deoxy-D-manno-octulosonic acid transferase
PP_4897	amiC		N-acetylmuramoyl-L-alanine amidase
PP_4879	rlmB		23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
PP_4802			UPF0250 protein PP_4802
PP_4735	lldP		L-lactate permease
PP_4709	rpsO		Small ribosomal subunit protein uS15
PP_4607		Transmembrane sensor	
PP_4523		Agmatinase	
PP_4509			DUF962 domain-containing protein
PP_4495	aroP-II	Aromatic amino acid transport protein	
PP_4472	csrA		Translational regulator CsrA
PP_4324	ccmD		Heme exporter protein D
PP_4211	ompQ	Outer membrane pyoverdine efflux protein	
PP_4137		Outer membrane siderophore receptor	
PP_4082	hcpC-II	Hemolysin-coregulated protein	
PP_4081		Type 4/6 secretion system	
PP_3995			Sulfurtransferase complex subunit TusB
PP_3993	tusD	Sulfur transfer protein complex, TusD subunit	
PP_3968			histidine kinase
PP_3889		Phage integrase	
PP_3847		Transcriptional regulator, LuxR family	
PP_3734		ABC transporter, permease protein	
PP_3709		Uncharacterized protein	
PP_3679			Exonuclease domain-containing protein
PP_3668	katG		Catalase-peroxidase
PP_3612		TonB-dependent receptor	
PP_3546			histidine kinase
PP_3537	pobA	p-hydroxybenzoate hydroxylase	
PP_3533	ocd		Ornithine cyclodeaminase
PP_3440			Glycosyltransferase family 61 protein
PP_3403		Quercetin 2,3-dioxygenase	
PP_3369		Transcriptional regulator, LysR family	
PP_3368		Major facilitator family transporter	
PP_3321			DUF4440 domain-containing protein
PP_3301		RND efflux membrane fusion protein	
PP_3278	paaA	Ring 1,2-phenylacetyl-CoA epoxidase alpha subunit	
PP_3195			Peptidase S9 prolyl oligopeptidase catalytic domain-containing protein
PP_2890	xthA	Exodeoxyribonuclease III / apurinic/apyrimidinic endodeoxyribonuclease VI	
PP_2845	ureC		Urease subunit alpha
PP_2645	mgtA		Magnesium-transporting ATPase, P-type 1
PP_2573			VOC domain-containing protein
PP_2487	aldA	Aldehyde dehydrogenase	
PP_2407	aroQ2		3-dehydroquinate dehydratase 2
PP_2374			DUF2970 domain-containing protein
PP_2323			N-acetyltransferase domain-containing protein
PP_2317	ybbA	ABC transporter-ATP binding subunit	
PP_2234		Transcriptional regulator, AraC family	
PP_2170			chorismate mutase
PP_2019		Multidrug efflux transporter, RND family	
PP_2009		1-aminocyclopropane-1-carboxylate deaminase	
PP_1998	dedD	Cell division protein	
PP_1997	folC		Dihydrofolate synthase/folylpolyglutamate synthase
PP_1983		PAS/PAC/GAF sensor-containing diguanylate cyclase/phosphodiesterase	
PP_1958		Uncharacterized protein	
PP_1952		Metallo-beta-lactamase family protein	
PP_1909	maf-2		7-methyl-GTP pyrophosphatase
PP_1860	ohrR	Organic hydroperoxide resistance transcriptional regulator	
PP_1845		Enoyl-CoA hydratase/isomerase family protein	
PP_1840			Regulator of ribonuclease activity B domain-containing protein
PP_1785	rffG		dTDP-glucose 4,6-dehydratase
PP_1754			Alginate lyase domain-containing protein
PP_1725			Nucleotide pyrophosphatase
PP_1651		Two-component response regulator	
PP_1584			DUF2514 domain-containing protein
PP_1545		Uncharacterized protein	
PP_1373	pitB		Phosphate transporter
PP_1233	tusA-I	Sulfurtransferase	
PP_1229	puuP	Putrescine permease	
PP_1212			Putative regulatory protein FmdB Zinc ribbon domain-containing protein
PP_1200	kup		Probable potassium transport system protein Kup
PP_1174		Uncharacterized protein	
PP_1163		Oxidoreductase, FAD-binding	
PP_1139	livM	Branched chain amino acid transporter-permease subunit	
PP_1103		ATP-dependent helicase, DEAD box family	
PP_1102			Calcineurin-like phosphoesterase domain-containing protein
PP_0984			RDD domain-containing protein
PP_0975	hupN	DNA-binding protein HU, form N	
PP_0932	gatC		Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C
PP_0692			CreA protein
PP_0506		ABC efflux transporter, permease protein	
PP_0504	oprG	Outer membrane protein OprG	
PP_0423			BPL/LPL catalytic domain-containing protein
PP_0272		Outer membrane ferric siderophore receptor	
PP_0233	tauA	Taurine ABC transporter periplasmic binding subunit	
PP_0188		Uroporphyrin-III C-methyltransferase	
PP_0168		Surface adhesion protein	
PP_0088		Alkanal monooxygenase	
PP_5447			MAPEG family protein
PP_5492		Uncharacterized protein	
PP_5497			RHS repeat-associated core domain-containing protein
PP_5510		Uncharacterized protein	
PP_5612			CHAD domain-containing protein
PP_5676		Uncharacterized protein	
PP_5013	ubiB		Probable protein kinase UbiB
PP_5727			Bacteriocin
PP_0002			Uncharacterized protein PP_0002
PP_5289	argB		Acetylglutamate kinase
PP_3820			RNA-directed DNA polymerase
PP_5416	atpH		ATP synthase subunit delta
PP_5317	ubiC		Probable chorismate pyruvate-lyase
PP_5249		Transcriptional regulator, LysR family	
PP_5233	amtB		Ammonium transporter
PP_5216	ppx		Exopolyphosphatase
PP_5164		Penicillin amidase family protein	
PP_5158		Uncharacterized protein	
PP_5084	mrcA		Penicillin-binding protein 1A
PP_5055		Sulfurtransferase	
PP_4969			DUF1090 domain-containing protein
PP_4833		SURF1 domain protein	
PP_4765			NAD(FAD)-utilizing dehydrogenase
PP_4643		Xanthine/uracil permease family protein	
PP_4373	fleQ	Transcriptional regulator FleQ	
PP_4298	hyi	Hydroxypyruvate isomerase	
PP_4270			Solute-binding protein family 3/N-terminal domain-containing protein
PP_4250	ccoN-I		cytochrome-c oxidase
PP_4173			histidine kinase
PP_4150	yejF	Microcin C transporter-ATP binding subunit	
PP_4084			DUF1795 domain-containing protein
PP_3966		Transposase	
PP_3834			non-specific serine/threonine protein kinase
PP_3802		Cation ABC transporter, ATP-binding protein	
PP_3441			BioF2-like acetyltransferase domain-containing protein
PP_3421			histidine kinase
PP_3392			Gamma carbonic anhydrase family protein
PP_3388			Toxin VasX N-terminal region domain-containing protein
PP_3332		Cytochrome c-type protein	
PP_3190		Ornithine cyclodeaminase/mu-crystallin family protein	
PP_3161	benA	Benzoate 1,2-dioxygenase subunit alpha	
PP_3083		Membrane protein	
PP_3058			Phage tail protein
PP_3024			ATP-binding protein
PP_2921			Carboxyltransferase domain-containing protein
PP_2804		Hydrolase, alpha/beta fold family	
PP_2800		Diaminobutyrate-2-oxoglutarate transaminase	
PP_2761		Ribose ABC transporter, permease protein	
PP_2756			Acyl-CoA dehydrogenase
PP_2750		Branched-chain amino acid ABC transporter, permease protein	
PP_2695		Transcriptional regulator, LysR family	
PP_2622			IraD/Gp25-like domain-containing protein
PP_2611			DUF6708 domain-containing protein
PP_2560	aprDA	Alkaline protease secretion transporter ATP-binding protein	
PP_2482		Molybdenum cofactor biosynthesis protein A	
PP_2436		Transcriptional regulator, LysR family	
PP_2288		Phage tail fiber protein	
PP_2248		Transporter	
PP_2189			DUF883 domain-containing protein
PP_2154	lolC	LolC	
PP_2121		Lipoprotein	
PP_2085	cmaX	CmaX protein	
PP_2033			Tle1 phospholipase domain-containing protein
PP_2016			DUF2797 domain-containing protein
PP_2007		p-47-related protein	
PP_1910			Large ribosomal RNA subunit accumulation protein YceD
PP_1907		Hydrolase, haloacid dehalogenase-like family	
PP_1847		TonB-dependent ferric siderophore receptor	
PP_1836		Metal transporter, ZIP family	
PP_1538			Phage-related protein
PP_1420	tctD	Transcriptional regulatory protein tctD	
PP_1415		Membrane associated enzyme subunit	
PP_1413	ung		Uracil-DNA glycosylase
PP_1285	algK		Alginate biosynthesis protein AlgK
PP_1267	yhaV	Toxin endoribonuclease of toxin antitoxin system SohB(PrlF)-YhaV	
PP_1242			DUF3077 domain-containing protein
PP_1171	udh		Uronate dehydrogenase
PP_1169	dctP	TRAP dicarboxylate transporter, DctP subunit	
PP_1164		Transcriptional regulator, LysR family	
PP_1099	capB	Cold shock protein CapB	
PP_1041	tatA-I		Sec-independent protein translocase protein TatA
PP_0999	arcC		Carbamate kinase
PP_0885	dppA-III	Dipeptide ABC transporter-periplasmic binding protein	
PP_0869	yehW	Osmoprotectant ABC transporter permease subunit	
PP_0801			Secreted protein
PP_0629			Cobalt transport protein CbiM
PP_0583		Transcriptional regulator, AraC family	
PP_0536			Hemerythrin-like domain-containing protein
PP_0507		ABC efflux transporter, ATP-binding protein	
PP_0355		Response regulator	
PP_0352		RNA polymerase sigma-70 factor, ECF subfamily	
PP_0300		Metallopeptidase	
PP_0262			Thioesterase putative domain-containing protein
PP_0252	hslO		33 kDa chaperonin
PP_0127	dsbA		Thiol:disulfide interchange protein
PP_0104	ctaD		Cytochrome c oxidase subunit 1
PP_0092		Lipoprotein	
PP_0086			Dodecin flavoprotein
PP_0059	gmhB		D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
