ACCESSION	UNIPROT_NAME	GID	GENE_NAME	SUBMITTED_PROTEIN_NAME	RECOMMENDED_PTN_NAME
Q88H96	Q88H96_PSEPK	PP_3464			Alginate export domain-containing protein
Q88HB7	Q88HB7_PSEPK	PP_3443		Glyceraldehyde-3-phosphate dehydrogenase	
Q88HC9	Q88HC9_PSEPK	PP_3431		ThiJ/PfpI family protein	
Q88HH4	Q88HH4_PSEPK	PP_3384		Gluconate 2-dehydrogenase gamma subunit	
Q88HI4	Q88HI4_PSEPK	PP_3373	bamA		Outer membrane protein assembly factor BamA
Q88HK3	Q88HK3_PSEPK	PP_3353		Sulfatase-modifying factor (C-alpha-formyglycine-generating enzyme)	
Q88HR3	Q88HR3_PSEPK	PP_3290		Universal stress protein family	
Q88HU0	Q88HU0_PSEPK	PP_3263	ybhN	Phospholipid modification enzyme	
Q88HX5	Q88HX5_PSEPK	PP_3228		Periplasmic aliphatic sulfonate-binding protein	
Q88HY5	Q88HY5_PSEPK	PP_3218		Monooxygenase, NtaA/SnaA/SoxA family	
Q88I17	Q88I17_PSEPK	PP_3185	pet		Aminopyrimidine aminohydrolase
Q88I45	Q88I45_PSEPK	PP_3156		Universal stress protein family	
Q88I75	Q88I75_PSEPK	PP_3126		Polysaccharide exported protein	
Q88IJ2	Q88IJ2_PSEPK	PP_3007			DUF3455 domain-containing protein
Q88IK1	Q88IK1_PSEPK	PP_2998			2-dehydropantoate 2-reductase
Q88IP9	Q88IP9_PSEPK	PP_2950			Nuclear transport factor 2 family protein
Q88J31	Q88J31_PSEPK	PP_2818	mexD		Efflux pump membrane transporter
Q88JA7	Q88JA7_PSEPK	PP_2742			(S)-ureidoglycine aminohydrolase cupin domain-containing protein
Q88JG7	Q88JG7_PSEPK	PP_2682	yiaY	Fe-containing alcohol dehydrogenase	
Q88JS0	Q88JS0_PSEPK	PP_2579	yijP	Phosphoethanolamine transferase CptA	
Q88JV4	Q88JV4_PSEPK	PP_2543	gabP-II	Gamma-aminobutyrate permease	
Q88K26	IF3_PSEPK	PP_2466	infC		Translation initiation factor IF-3
Q88K50	Y2442_PSEPK	PP_2442			UPF0502 protein PP_2442
Q88K66	Q88K66_PSEPK	PP_2425		Transcriptional regulator, AraC family	
Q88KN4	Q88KN4_PSEPK	PP_2256		Transcriptional regulator, Cro/CI family	
Q88KW2	Q88KW2_PSEPK	PP_2177		Transcriptional regulator	
Q88L35	Q88L35_PSEPK	PP_2100			histidine kinase
Q88L77	Q88L77_PSEPK	PP_2058		Porin	
Q88LD3	Q88LD3_PSEPK	PP_2002		Enzyme	
Q88LK5	Q88LK5_PSEPK	PP_1926		Phosphotyrosine-protein phosphatase	
Q88LR4	Q88LR4_PSEPK	PP_1864			DUF1127 domain-containing protein
Q88M40	Q88M40_PSEPK	PP_1735	htrB		Lipid A biosynthesis acyltransferase
Q88M77	Q88M77_PSEPK	PP_1697		Transcriptional regulator, GntR family	
Q88ME7	MUTS_PSEPK	PP_1626	mutS		DNA mismatch repair protein MutS
Q88MM0	Q88MM0_PSEPK	PP_1551		Phage replication protein O	
Q88MQ1	Q88MQ1_PSEPK	PP_1519		Lipoprotein	
Q88MU9	Q88MU9_PSEPK	PP_1469	dsbC		Thiol:disulfide interchange protein
Q88MV9	Q88MV9_PSEPK	PP_1459		CBS domain protein	
Q88N34	Q88N34_PSEPK	PP_1382	pcaP	Porin-encoding protein	
Q88N41	Q88N41_PSEPK	PP_1375	pcaR	Transcription regulatory protein (Pca regulon)	
Q88NA4	Q88NA4_PSEPK	PP_1308	mdeA		L-methionine gamma-lyase
Q88ND2	ALGI_PSEPK	PP_1280	algI		Probable alginate O-acetylase AlgI
Q88NJ7	Q88NJ7_PSEPK	PP_1210	dps	DNA-binding stress protein	
Q88NK6	Q88NK6_PSEPK	PP_1201			Bacterial virulence domain-containing protein
Q88NL0	RIMO_PSEPK	PP_1197	rimO		Ribosomal protein uS12 methylthiotransferase RimO
Q88P00	Q88P00_PSEPK	PP_1053	xcpY	Type II secretion pathway protein XcpY	
Q88P35	Q88P35_PSEPK	PP_1018	gtsD	Mannose/glucose ABC transporter-ATP binding subunit	
Q88P48	Q88P48_PSEPK	PP_1005	hemO	Heme oxygenase	
Q88P65	GCSP1_PSEPK	PP_0988	gcvP1		Glycine dehydrogenase (decarboxylating) 1
Q88P74	Q88P74_PSEPK	PP_0979	holC	DNA polymerase III subunit chi	
Q88PA1	Y949_PSEPK	PP_0949			Nucleotide-binding protein PP_0949
Q88PA8	Q88PA8_PSEPK	PP_0942	pmbA	Regulatory protease	
Q88PG9	Q88PG9_PSEPK	PP_0881	dppB	Dipeptide ABC transporter-putative membrane subunit	
Q88PU2	Q88PU2_PSEPK	PP_0756			Phospholipid/glycerol acyltransferase domain-containing protein
Q88PY9	Q88PY9_PSEPK	PP_0709		Transporter, NCS1 nucleoside transporter family	
Q88QG4	RIBB_PSEPK	PP_0530	ribB		3,4-dihydroxy-2-butanone 4-phosphate synthase
Q88QJ3	Q88QJ3_PSEPK	PP_0498			Serine aminopeptidase S33 domain-containing protein
Q88QL8	RS5_PSEPK	PP_0471	rpsE		Small ribosomal subunit protein uS5
Q88QM9	RS3_PSEPK	PP_0460	rpsC		Small ribosomal subunit protein uS3
Q88QP1	RPOC_PSEPK	PP_0448	rpoC		DNA-directed RNA polymerase subunit beta'
Q88QS0	ESTP_PSEPK	PP_0418	estP		Esterase EstP
Q88R27	Q88R27_PSEPK	PP_0307			Lysozyme inhibitor LprI N-terminal domain-containing protein
Q88R43	Q88R43_PSEPK	PP_0291			DUF2164 domain-containing protein
Q88RI1	Q88RI1_PSEPK	PP_0148			CENP-V/GFA domain-containing protein
Q88RI3	Q88RI3_PSEPK	PP_0146	ygdQ	Transport protein	
Q88RQ8	Q88RQ8_PSEPK	PP_0071			DUF3077 domain-containing protein
Q88RS2	Q88RS2_PSEPK	PP_0057		Major facilitator family transporter	
Q88RV8	Q88RV8_PSEPK	PP_0021		Uncharacterized protein	
Q88RW5	Q88RW5_PSEPK	PP_0014		Transposase	
A0A140FVY1	A0A140FVY1_PSEPK	PP_5437		Uncharacterized protein	
A0A140FW54	A0A140FW54_PSEPK	PP_5499			DUF202 domain-containing protein
A0A140FW82	A0A140FW82_PSEPK	PP_5528		Uncharacterized protein	
A0A140FWA3	A0A140FWA3_PSEPK	PP_5550			DUF4325 domain-containing protein
A0A140FWD0	A0A140FWD0_PSEPK	PP_5580		Uncharacterized protein	
A0A140FWM3	A0A140FWM3_PSEPK	PP_4320	cycH	Cytochrome c-type biogenesis protein	
A0A140FWP6	A0A140FWP6_PSEPK	PP_5694		Uncharacterized protein	
A0A140FWU0	A0A140FWU0_PSEPK	PP_5737		Uncharacterized protein	
Q877M6	Q877M6_PSEPK	PP_4438		Transposase	
Q88C30	Q88C30_PSEPK	PP_5353			Tim44-like domain-containing protein
Q88CA9	Q88CA9_PSEPK	PP_5272			YkgJ family cysteine cluster protein
Q88CC0	Q88CC0_PSEPK	PP_5261		Transcriptional regulator, LysR family	
Q88CH1	Q88CH1_PSEPK	PP_5210		Alcohol dehydrogenase, zinc-containing	
Q88CQ0	Q88CQ0_PSEPK	PP_5130	pchP	Phosphoethanolamine/phosphocholine phosphatase	
Q88CZ2	Q88CZ2_PSEPK	PP_5037			Outer membrane lipoprotein Blc
Q88D04	OPGH_PSEPK	PP_5025	opgH		Glucans biosynthesis glucosyltransferase H
Q88DA4	Q88DA4_PSEPK	PP_4923		Outer membrane efflux protein	
Q88DE1	Q88DE1_PSEPK	PP_4886			Hcp1 family type VI secretion system effector
Q88E05	Q88E05_PSEPK	PP_4663			Probable membrane transporter protein
Q88EH1	Q88EH1_PSEPK	PP_4492	yhhS		Uncharacterized MFS-type transporter PP_4492
Q88EI4	ASTD_PSEPK	PP_4478	astD		N-succinylglutamate 5-semialdehyde dehydrogenase
Q88EW3	CHEZ_PSEPK	PP_4339	cheZ		Protein phosphatase CheZ
Q88FH5	NUOCD_PSEPK	PP_4121	nuoC		NADH-quinone oxidoreductase subunit C/D
Q88FI1	Q88FI1_PSEPK	PP_4115			NolW-like domain-containing protein
Q88FL1	Q88FL1_PSEPK	PP_4079			Type VI secretion system lipoprotein TssJ
Q88FM4	Q88FM4_PSEPK	PP_4065	mccB	Methylcrotonyl-CoA carboxylase biotin-containing subunit beta	
Q88FV4	Q88FV4_PSEPK	PP_3974		Transcriptional regulator, LysR family	
Q88G27	Q88G27_PSEPK	PP_3899			Type II toxin-antitoxin system HicB family antitoxin
Q88G30	Q88G30_PSEPK	PP_3896		Transcriptional regulator, Cro/CI family	
Q88G53	Q88G53_PSEPK	PP_3873			HK97 gp10 family phage protein
Q88GA2	Q88GA2_PSEPK	PP_3823		Cytochrome c-type protein	
Q88GI4	Q88GI4_PSEPK	PP_3738		Transcriptional regulator VanR	
Q88GJ4	Q88GJ4_PSEPK	PP_3728			histidine kinase
Q88H21	Q88H21_PSEPK	PP_3544		Transcriptional regulator, GntR family	
Q88HC3	Q88HC3_PSEPK	PP_3437	yegH	Transporter	
Q88HM1	Q88HM1_PSEPK	PP_3335			Natural product biosynthesis protein
Q88I34	Q88I34_PSEPK	PP_3167	benE-II	Benzoate transport protein	
Q88IK3	Q88IK3_PSEPK	PP_2996			Transmembrane protein
Q88IT7	Q88IT7_PSEPK	PP_2912			non-specific serine/threonine protein kinase
Q88IU0	GLAH_PSEPK	PP_2909	glaH		Glutarate 2-hydroxylase
Q88J43	Q88J43_PSEPK	PP_2806		Transcriptional regulator, TetR family	
Q88J77	Q88J77_PSEPK	PP_2772		Monooxygenase	
Q88JJ7	Q88JJ7_PSEPK	PP_2652		Hydratase/decarboxylase	
Q88JM8	Q88JM8_PSEPK	PP_2621			Type VI secretion system baseplate subunit TssF
Q88JM9	Q88JM9_PSEPK	PP_2620			Type VI secretion system baseplate subunit TssG
Q88JR3	Q88JR3_PSEPK	PP_2586		Amino acid transporter	
Q88JS9	Q88JS9_PSEPK	PP_2568		Ring-cleaving dioxygenase	
Q88JT5	Q88JT5_PSEPK	PP_2562			Isochorismatase-like domain-containing protein
Q88K99	Q88K99_PSEPK	PP_2392		Major facilitator family transporter	
Q88KC2	Q88KC2_PSEPK	PP_2368	dkgB	2,5-diketo-D-gluconate reductase	
Q88KG4	Q88KG4_PSEPK	PP_2326		Universal stress protein	
Q88KJ5	Q88KJ5_PSEPK	PP_2295		Antirestriction protein	
Q88KN0	Q88KN0_PSEPK	PP_2260		Glycerol-phosphate ABC transporter, ATP-binding protein	
Q88KQ3	Q88KQ3_PSEPK	PP_2237			DUF3182 family protein
Q88KU1	Q88KU1_PSEPK	PP_2198	yliI	Aldose sugar dehydrogenase	
Q88KV8	Q88KV8_PSEPK	PP_2181		Transcriptional regulator, Cro/CI family	
Q88KY3	Q88KY3_PSEPK	PP_2156	lolE	Lipoprotein releasing system, permease protein	
Q88KY6	Q88KY6_PSEPK	PP_2153			PilZ domain-containing protein
Q88L55	Q88L55_PSEPK	PP_2080	gdhB		glutamate dehydrogenase
Q88L73	Q88L73_PSEPK	PP_2062			RHS repeat-associated core domain-containing protein
Q88L81	Q88L81_PSEPK	PP_2054	ybhD	DNA-binding transcriptional regulator	
Q88LX6	Q88LX6_PSEPK	PP_1801	wbpY	Glycosyl transferase WbpY	
Q88LZ7	Q88LZ7_PSEPK	PP_1779		Lipopolysaccharide ABC export system, ATP-binding protein	
Q88M38	Q88M38_PSEPK	PP_1737			ABC transporter
Q88M85	Q88M85_PSEPK	PP_1689		Long-chain fatty acid transporter	
Q88MC8	Q88MC8_PSEPK	PP_1645	yfgD		Arsenate reductase
Q88ML4	Q88ML4_PSEPK	PP_1557			Prophage PssSM-03
Q88MQ2	Q88MQ2_PSEPK	PP_1518			DUF4197 domain-containing protein
Q88MS9	Q88MS9_PSEPK	PP_1489		CheW domain protein	
Q88MY5	RNC_PSEPK	PP_1433	rnc		Ribonuclease 3
Q88MZ9	Q88MZ9_PSEPK	PP_1419	opdH	Tricarboxylate-specific outer membrane porin	
Q88N45	MCPG_PSEPK	PP_1371	mcpG		Methyl-accepting chemotaxis protein McpG
Q88N68	Q88N68_PSEPK	PP_1347		Glutathione S-transferase family protein	
Q88N78	MURD_PSEPK	PP_1335	murD		UDP-N-acetylmuramoylalanine--D-glutamate ligase
Q88NT6	Q88NT6_PSEPK	PP_1118		Recombinase-related protein	
Q88NX3	Q88NX3_PSEPK	PP_1080		Oxidoreductase molybdopterin-binding	
Q88NX4	OTC_PSEPK	PP_1079	argF		Ornithine carbamoyltransferase
Q88P31	Q88P31_PSEPK	PP_1022	zwfA		Glucose-6-phosphate 1-dehydrogenase
Q88P94	Q88P94_PSEPK	PP_0958	mlaF	Phospholipid ABC transporter ATP-binding subunit	
Q88PB3	Q88PB3_PSEPK	PP_0937	rng	Endoribonuclease G (RNAse G)	
Q88PB4	NTPPA_PSEPK	PP_0936	maf-1		dTTP/UTP pyrophosphatase
Q88PE7	Q88PE7_PSEPK	PP_0903			Methyltransferase domain-containing protein
Q88PI8	Y862_PSEPK	PP_0862			PKHD-type hydroxylase PP_0862
Q88PM1	Q88PM1_PSEPK	PP_0829			Addiction module antidote protein
Q88PM7	SELU_PSEPK	PP_0822	selU		tRNA 2-selenouridine synthase
Q88PR6	Q88PR6_PSEPK	PP_0782			Glutamyl-tRNA amidotransferase
Q88PT5	Q88PT5_PSEPK	PP_0763		Medium-chain-fatty-acid CoA ligase	
Q88PY3	Q88PY3_PSEPK	PP_0715		Outer membrane efflux protein	
Q88Q31	Q88Q31_PSEPK	PP_0667		RNA polymerase sigma-70 factor, ECF subfamily	
Q88Q79	Q88Q79_PSEPK	PP_0616		Branched-chain amino acid ABC transporter, ATP binding protein	
Q88QH8	Q88QH8_PSEPK	PP_0515	ribE	Riboflavin synthase	
Q88QU0	Q88QU0_PSEPK	PP_0397	yeaG	Protein kinase	
Q88R46	Q88R46_PSEPK	PP_0288		Oxalate/formate antiporter	
Q88R59	Q88R59_PSEPK	PP_0275			Type II toxin-antitoxin system RelE/ParE family toxin
Q88RE5	HEM3_PSEPK	PP_0186	hemC		Porphobilinogen deaminase
Q88RE9	Q88RE9_PSEPK	PP_0181			TIGR02647 family protein
Q88RH4	Q88RH4_PSEPK	PP_0155	pntB		NAD(P) transhydrogenase subunit beta
Q88RP5	Q88RP5_PSEPK	PP_0084	trpI	HTH-type transcriptional regulator TrpI	
Q88RQ7	Q88RQ7_PSEPK	PP_0072	qor-I	Quinone oxidoreductase	
Q88RV7	Q88RV7_PSEPK	PP_0022		Uncharacterized protein	
A0A140FVX3	A0A140FVX3_PSEPK	PP_5747	pntAB		proton-translocating NAD(P)(+) transhydrogenase
A0A140FW62	A0A140FW62_PSEPK	PP_5507		Uncharacterized protein	
A0A140FW77	A0A140FW77_PSEPK	PP_5523		Uncharacterized protein	
A0A140FWD4	A0A140FWD4_PSEPK	PP_5586		Uncharacterized protein	
A0A140FWF8	A0A140FWF8_PSEPK	PP_3584	mdtB	Multidrug efflux transport system-membrane subunit	
A0A140FWI5	A0A140FWI5_PSEPK	PP_5632		Enzyme subunit involved in allo-isoleucine metabolism	
A0A140FWJ1	A0A140FWJ1_PSEPK	PP_5638			DUF2514 domain-containing protein
P59319	ARGD_PSEPK	PP_4481	argD		Acetylornithine aminotransferase
Q59692	FTSZ_PSEPK	PP_1342	ftsZ		Cell division protein FtsZ
Q877J6	Q877J6_PSEPK	PP_5396		Transposase	
Q88C31	Q88C31_PSEPK	PP_5352	uvrD		DNA 3'-5' helicase
Q88C60	Q88C60_PSEPK	PP_5323		Peptidase, M23/M37 family	
Q88C73	Q88C73_PSEPK	PP_5310	recG		ATP-dependent DNA helicase RecG
Q88CI0	Y5201_PSEPK	PP_5201			UPF0149 protein PP_5201
Q88CI3	Q88CI3_PSEPK	PP_5198			Tetrameric acyl-CoA thioesterase
Q88CP6	Q88CP6_PSEPK	PP_5134			G domain-containing protein
Q88CQ9	Q88CQ9_PSEPK	PP_5121			Twin-arginine translocation pathway signal protein
Q88CR4	Q88CR4_PSEPK	PP_5116			Peptidase M16
Q88D81	Q88D81_PSEPK	PP_4946	putP		Sodium/proline symporter
Q88DT3	LLDD_PSEPK	PP_4736	lldD		L-lactate dehydrogenase
Q88E00	Q88E00_PSEPK	PP_4668		Transcriptional regulator, LysR family	
Q88ED9	Q88ED9_PSEPK	PP_4526		MFS superfamily transporter	
Q88EI9	AK_PSEPK	PP_4473			Aspartate kinase
Q88EJ2	Q88EJ2_PSEPK	PP_4470		Transcriptional regulator (Arc domain-containing)	
Q88EQ5	Q88EQ5_PSEPK	PP_4398		Major facilitator family transporter	
Q88EW2	Q88EW2_PSEPK	PP_4340	cheY	Response regulator for chemotactic signal transduction	
Q88EW9	Q88EW9_PSEPK	PP_4333		CheW domain protein	
Q88F10	Q88F10_PSEPK	PP_4290	uacT	Uric acid permease	
Q88F21	Q88F21_PSEPK	PP_4278	xdhA	Xanthine dehydrogenase subunit XdhA	
Q88F25	DNLJ_PSEPK	PP_4274	ligA		DNA ligase
Q88F46	Q88F46_PSEPK	PP_4253	ccoP-I		Cbb3-type cytochrome c oxidase subunit
Q88F61	Q88F61_PSEPK	PP_4238		Uncharacterized protein	
Q88FC9	GPDA_PSEPK	PP_4169	gpsA		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
Q88FD1	Q88FD1_PSEPK	PP_4167	sixA	Phosphohistidine phosphatase SixA	
Q88FU8	Q88FU8_PSEPK	PP_3983		Uncharacterized protein	
Q88FX2	Q88FX2_PSEPK	PP_3955		Permease	
Q88FX9	NICA_PSEPK	PP_3947	nicA		Nicotinate dehydrogenase subunit A
Q88GE4	Q88GE4_PSEPK	PP_3780			Sodium:proton antiporter
Q88GJ7	Q88GJ7_PSEPK	PP_3725		Acyl-CoA dehydrogenase	
Q88GJ8	Q88GJ8_PSEPK	PP_3724		Acyl-CoA synthetase	
Q88GS5	Q88GS5_PSEPK	PP_3643		Oxidoreductase	
Q88H36	Q88H36_PSEPK	PP_3529	dmoA-II	Dimethyl-sulfide monooxygenase	
Q88HS7	Q88HS7_PSEPK	PP_3276	paaC	Ring 1,2-phenylacetyl-CoA epoxidase beta subunit	
Q88I26	Q88I26_PSEPK	PP_3176		Major facilitator family transporter	
Q88IL2	Q88IL2_PSEPK	PP_2987			HTH hxlR-type domain-containing protein
Q88IS4	MQO3_PSEPK	PP_2925	mqo3		Probable malate:quinone oxidoreductase 3
Q88IT3	Q88IT3_PSEPK	PP_2916	ribC	Riboflavin synthase	
Q88IZ5	Q88IZ5_PSEPK	PP_2854			Fap system outer membrane protein
Q88J02	Q88J02_PSEPK	PP_2847	ureJ	Urease accessory protein UreJ	
Q88JB0	Q88JB0_PSEPK	PP_2739		Sensory box protein	
Q88JC8	Q88JC8_PSEPK	PP_2721			Amino acid transporter
Q88JP3	Q88JP3_PSEPK	PP_2606			NIPSNAP domain-containing protein
Q88JV6	Q88JV6_PSEPK	PP_2541		Transcriptional factor-related protein	
Q88JV7	Q88JV7_PSEPK	PP_2540		Oxidoreductase, short-chain dehydrogenase/reductase family	
Q88K14	Q88K14_PSEPK	PP_2479		Cytochrome c family protein	
Q88K25	RL35_PSEPK	PP_2467	rpmI		Large ribosomal subunit protein bL35
Q88K94	Q88K94_PSEPK	PP_2397		EF hand domain protein	
Q88KC4	Q88KC4_PSEPK	PP_2366	fsr-II	Fosmidomycin efflux system	
Q88KI2	Q88KI2_PSEPK	PP_2308		Acyl-CoA thioesterase II	
Q88KJ9	Q88KJ9_PSEPK	PP_2291		Uncharacterized protein	
Q88KP4	Q88KP4_PSEPK	PP_2246	dauA	Catabolic D-arginine dehydrogenase, FAD-dependent	
Q88L95	Q88L95_PSEPK	PP_2040		Major facilitator family transporter	
Q88LA1	Q88LA1_PSEPK	PP_2034			Major facilitator superfamily (MFS) profile domain-containing protein
Q88LE4	Q88LE4_PSEPK	PP_1989	asd		Aspartate-semialdehyde dehydrogenase
Q88LE9	Q88LE9_PSEPK	PP_1984		Transcriptional regulator, LysR family	
Q88LF7	Q88LF7_PSEPK	PP_1976		HlyD family secretion protein	
Q88LV1	Q88LV1_PSEPK	PP_1826		Hydrolase, isochorismatase family	
Q88M17	TRHO_PSEPK	PP_1758	trhO		tRNA uridine(34) hydroxylase
Q88MB7	Q88MB7_PSEPK	PP_1657	mazG	Modified nucleoside triphosphate pyrophosphohydrolase	
Q88MH5	Q88MH5_PSEPK	PP_1596	cdsA		Phosphatidate cytidylyltransferase
Q88MQ9	Q88MQ9_PSEPK	PP_1511			Extensin-like C-terminal domain-containing protein
Q88MR0	Q88MR0_PSEPK	PP_1510		Carboxyvinyl-carboxyphosphonate phosphorylmutase	
Q88MU5	Q88MU5_PSEPK	PP_1473			DUF3509 domain-containing protein
Q88MW1	PURT_PSEPK	PP_1457	purT		Formate-dependent phosphoribosylglycinamide formyltransferase
Q88MW8	Q88MW8_PSEPK	PP_1450		Activation/secretion protein, TPS family	
Q88N84	RSMH_PSEPK	PP_1329	rsmH		Ribosomal RNA small subunit methyltransferase H
Q88NF5	Q88NF5_PSEPK	PP_1256		Alpha-ketoglutarate semialdehyde dehydrogenase	
Q88NI8	Q88NI8_PSEPK	PP_1219	tolQ		Tol-Pal system protein TolQ
Q88NM7	Q88NM7_PSEPK	PP_1180		Uncharacterized protein	
Q88P40	Q88P40_PSEPK	PP_1013			histidine kinase
Q88P46	Q88P46_PSEPK	PP_1007		Transmembrane sensor	
Q88PK9	Q88PK9_PSEPK	PP_0841	iscR	DNA-binding transcriptional dual regulator 2Fe-2S cluster IscR	
Q88PL8	QUEA_PSEPK	PP_0832	queA		S-adenosylmethionine:tRNA ribosyltransferase-isomerase
Q88PN5	Q88PN5_PSEPK	PP_0814	cyoC		Cytochrome bo(3) ubiquinol oxidase subunit 3
Q88PT6	Q88PT6_PSEPK	PP_0762	hprA	Glycerate dehydrogenase	
Q88PX2	Q88PX2_PSEPK	PP_0726		Transferase	
Q88Q40	Q88Q40_PSEPK	PP_0658		Homocysteine S-methyltransferase family protein	
Q88Q68	Q88Q68_PSEPK	PP_0628			DUF1780 domain-containing protein
Q88Q83	GLYOX_PSEPK	PP_0612	thiO		Glycine oxidase
Q88QF6	IPYR_PSEPK	PP_0538	ppa		Inorganic pyrophosphatase
Q88QJ5	Q88QJ5_PSEPK	PP_0496		Sodium/alanine symporter	
Q88QT6	RSMA_PSEPK	PP_0401	rsmA		Ribosomal RNA small subunit methyltransferase A
Q88QZ4	GLNE_PSEPK	PP_0340	glnE		Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
Q88R47	Q88R47_PSEPK	PP_0287			AsmA domain-containing protein
Q88R84	Q88R84_PSEPK	PP_0249			Putative ATP-dependent zinc protease domain-containing protein
Q88RC2	Q88RC2_PSEPK	PP_0210		Phycobiliprotein	
Q88RI6	Q88RI6_PSEPK	PP_0143			DUF2914 domain-containing protein
Q88RK9	Q88RK9_PSEPK	PP_0120			High-affinity zinc uptake system protein ZnuA
Q88RU7	Q88RU7_PSEPK	PP_0032			Secreted protein
Q88RW2	Q88RW2_PSEPK	PP_0017		Transcriptional regulator	
A0A140FVW6	A0A140FVW6_PSEPK	PP_5422		Uncharacterized protein	
A0A140FVW7	A0A140FVW7_PSEPK	PP_5423		Uncharacterized protein	
A0A140FVZ3	A0A140FVZ3_PSEPK	PP_5446		Uncharacterized protein	
A0A140FW03	A0A140FW03_PSEPK	PP_5453		Uncharacterized protein	
A0A140FW18	A0A140FW18_PSEPK	PP_5469		SAM-dependent methyltransferase	
A0A140FW24	A0A140FW24_PSEPK	PP_5473		Transcriptional regulator, LuxR family	
A0A140FW99	A0A140FW99_PSEPK	PP_5546			Type IV toxin-antitoxin system AbiEi family antitoxin domain-containing protein
A0A140FWB1	A0A140FWB1_PSEPK	PP_5558		Transcriptional xre family of phage origin	
A0A140FWH5	A0A140FWH5_PSEPK	PP_5623		Uncharacterized protein	
A0A140FWJ9	A0A140FWJ9_PSEPK	PP_5647		Uncharacterized protein	
Q52284	IHFA_PSEPK	PP_2471	ihfA		Integration host factor subunit alpha
Q88C23	Q88C23_PSEPK	PP_5360			DUF1826 domain-containing protein
Q88C26	PDXY_PSEPK	PP_5357	pdxY		Pyridoxal kinase PdxY
Q88C38	Q88C38_PSEPK	PP_5345		Acetyltransferase, GNAT family	
Q88C79	Q88C79_PSEPK	PP_5304		Lipoprotein	
Q88CD1	Q88CD1_PSEPK	PP_5250	opdB	Proline-specific outer membrane porin D	
Q88CD5	Q88CD5_PSEPK	PP_5246	kefB-III	Glutathione-regulated potassium/H+ antiporter	
Q88CF6	CYAY_PSEPK	PP_5225	cyaY		Iron-sulfur cluster assembly protein CyaY
Q88CI8	GCSH2_PSEPK	PP_5193	gcvH2		Glycine cleavage system H protein 2
Q88CJ0	Q88CJ0_PSEPK	PP_5191			Ribonucleotide reductase
Q88CX9	Q88CX9_PSEPK	PP_5051		Uncharacterized protein	
Q88D05	Q88D05_PSEPK	PP_5024		Amino acid ABC transporter, periplasmic amino acid-binding protein	
